Kód území,Region soudržnosti,Pocet celkem,Pocet muži,Pocet ženy,Prumerny vek celkem,Prumerny vek muži,Prumerny vek ženy,typ
CZ0,Česko,10494836,5170902,5323934,42.7,41.3,44.2,zeme
CZ010,Hlavní město Praha,1259413,613316,646097,42.4,40.8,43.8,kraj
CZ020,Středočeský kraj,1372588,678250,694338,41.5,40.2,42.7,kraj
CZ031,Jihočeský kraj,636422,314988,321434,43.1,41.8,44.3,kraj
CZ032,Plzeňský kraj,576358,285530,290828,43.1,41.8,44.3,kraj
CZ041,Karlovarský kraj,285020,140871,144149,43.5,42.1,44.8,kraj
CZ042,Ústecký kraj,801586,396341,405245,42.6,41.2,43.9,kraj
CZ051,Liberecký kraj,437522,215962,221560,42.6,41.2,44,kraj
CZ052,Královéhradecký kraj,544205,268571,275634,43.5,42,45,kraj
CZ053,Pardubický kraj,514413,255233,259180,42.8,41.4,44.2,kraj
CZ063,Kraj Vysočina,504004,250788,253216,43.1,41.7,44.5,kraj
CZ064,Jihomoravský kraj,1181216,580588,600628,42.6,41.1,44.1,kraj
CZ071,Olomoucký kraj,624931,306607,318324,43.2,41.7,44.7,kraj
CZ072,Zlínský kraj,573718,282182,291536,43.5,41.8,45.2,kraj
CZ080,Moravskoslezský kraj,1183440,581675,601765,43.2,41.6,44.8,kraj
