Rozliseni;Cislo;VS;Dodavatel;IcDodavatele;UcelPlatby;DatumPrijeti;DatumSplatnosti;DatumUhrady;Mena;Fakturovano;Uhrada;KodStredisko;NazevStredisko;KodRozpPolozka;NazevRozpPolozka
"F";1;2019012136;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";02.01.2020;14.01.2020;14.02.2020;"CZK";363496.10;363496.10;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"6111";"Programové vybavení"
"F";2;2019012137;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";02.01.2020;14.01.2020;14.02.2020;"CZK";129518.40;129518.40;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"6111";"Programové vybavení"
"F";8;1727866225;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 12/19";06.01.2020;14.01.2020;16.01.2020;"CZK";93096.22;93096.22;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5156";"Pohonné hmoty a maziva"
"F";10;192408;"Monitor Cz, s. r. o.";"26142104";"PŘEDPLATNÉ";06.01.2020;30.01.2020;16.01.2020;"CZK";96614.00;96614.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5136";"Knihy, učební pomůcky a tisk"
"F";12;1930121801;"3E com s.r.o.";"05065488";"SLUŽBY";07.01.2020;17.01.2020;14.02.2020;"CZK";263780.00;263780.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"6125";"Výpočetní technika"
"F";13;19365;"MABI Information Security";"24760005";"SLUŽBY";07.01.2020;21.01.2020;21.01.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";20;190002435;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA 12/19";08.01.2020;19.01.2020;16.01.2020;"CZK";138194.34;138194.34;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";23;8003015715;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 12/19";08.01.2020;30.01.2020;27.01.2020;"CZK";62923.47;62923.47;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";27;5208043789;"SODEXHO PASS ČR AS";"61860476";"STRAVENKY";09.01.2020;29.01.2020;20.01.2020;"CZK";1600000.00;1600000.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";29;20010034;"ICS Identifikační systémy,";"43875742";"INVENTURA HMOTNÉHO MAJETKU";09.01.2020;08.02.2020;20.01.2020;"CZK";159841.00;159841.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";33;2194107;"ABAS IPS Management s.r.o.";"25842811";"BEZPEČNOSTNÍ SLUŽBY 12/19";13.01.2020;05.02.2020;20.01.2020;"CZK";389277.56;389277.56;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
